Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",D_SOD-123_flip,29,D,
J1,Battery,1,Conn_01x02,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW27, SW28, SW29, SW3, SW30, SW4, SW5, SW6, SW7, SW8, SW9",CherryMX_Hotswap,28,SW_PUSH,
SW25,MSK-12C02_DUAL,1,SW_DPDT_x2,
SW26,CherryMX_Hotswap_1.5,1,SW_PUSH,
"TH3, TH4, TH5, TH6, TH7",HOLE_M2_TH,5,HOLE,
U1,XIAO_nRF52840_DUAL,1,XIAO_nRF52840,
